3 4151
-1.448394 -1.963736 2.602749
-1.479193 -1.984538 2.670779
-1.509650 -2.002751 2.741055
-1.539659 -2.018151 2.813429
-1.569107 -2.030520 2.887728
-1.597878 -2.039645 2.963754
-1.625849 -2.045323 3.041280
-1.652895 -2.047363 3.120054
-1.678886 -2.045592 3.199796
-1.523005 -0.556089 4.465466
-1.486719 -0.501080 4.444404
-1.449472 -0.448578 4.420312
-1.411413 -0.398676 4.393459
-1.372693 -0.351442 4.364115
-1.333456 -0.306913 4.332544
-1.293842 -0.265104 4.299003
-1.253988 -0.226008 4.263735
-1.214021 -0.189595 4.226977
-1.174066 -0.155820 4.188946
-1.134237 -0.124621 4.149851
-1.094641 -0.095923 4.109883
-1.055380 -0.069640 4.069217
-1.016544 -0.045677 4.028014
-0.978217 -0.023933 3.986422
-0.940477 -0.004302 3.944570
-0.903390 0.013329 3.902577
-0.867018 0.029069 3.860546
-0.831414 0.043032 3.818570
-0.796624 0.055331 3.776727
-0.762688 0.066077 3.735088
-0.729638 0.075378 3.693710
-0.697502 0.083340 3.652644
-0.666301 0.090066 3.611932
-0.636050 0.095654 3.571607
-0.578442 0.103790 3.492225
-0.524712 0.108451 3.414654
-0.474838 0.110264 3.338978
-0.428746 0.109782 3.265226
-0.386322 0.107487 3.193390
-0.347424 0.103793 3.123433
-0.311887 0.099054 3.055304
-0.279529 0.093563 2.988940
-0.250161 0.087567 2.924273
-0.223586 0.081268 2.861233
-0.199610 0.074827 2.799753
-0.178039 0.068375 2.739768
-0.158684 0.062010 2.681216
-0.141365 0.055811 2.624041
-0.125907 0.049831 2.568190
-0.112146 0.044111 2.513615
-0.099928 0.038674 2.460270
-0.089110 0.033535 2.408116
-0.079557 0.028697 2.357114
-0.071147 0.024156 2.307231
-0.060427 0.017882 2.234433
-0.051682 0.012209 2.163980
-0.044617 0.007073 2.095783
-0.038976 0.002406 2.029760
-0.034543 -0.001868 1.965835
-0.031137 -0.005824 1.903937
-0.028606 -0.009537 1.843998
-0.026824 -0.013080 1.785955
-0.025689 -0.016524 1.729747
-0.025121 -0.019937 1.675317
-0.025055 -0.023385 1.622608
-0.025444 -0.026935 1.571569
-0.026612 -0.031936 1.506026
-0.028481 -0.037387 1.443244
-0.031035 -0.043449 1.383117
-0.034290 -0.050295 1.325545
-0.038290 -0.058113 1.270434
-0.043105 -0.067116 1.217700
-0.048833 -0.077545 1.167270
-0.055601 -0.089678 1.119082
-0.065768 -0.107737 1.061930
-0.078197 -0.129723 1.008160
-0.093379 -0.156561 0.957786
-0.111926 -0.189388 0.910914
-0.129693 -0.220890 0.876091
-0.150568 -0.257970 0.843863
-0.175111 -0.301634 0.814545
-0.203977 -0.353060 0.788596
-0.228926 -0.397540 0.771735
-0.257114 -0.447804 0.757515
0.351931 0.630966 2.838183
0.379982 0.636314 2.793548
0.406419 0.643416 2.751152
0.443649 0.657405 2.691675
0.478722 0.675424 2.637103
0.512397 0.697467 2.587471
0.545345 0.723501 2.542894
0.578156 0.753473 2.503560
0.611343 0.787304 2.469720
0.645353 0.824894 2.441692
0.680564 0.866104 2.419853
0.717293 0.910754 2.404638
0.755792 0.958601 2.396532
0.796251 1.009322 2.396067
0.838789 1.062496 2.403803
0.883451 1.117577 2.420317
0.914390 1.155022 2.436483
0.946222 1.192766 2.456960
0.978893 1.230525 2.481893
1.012326 1.267982 2.511403
1.046420 1.304776 2.545587
1.081050 1.340511 2.584502
1.116063 1.374750 2.628163
1.151279 1.407024 2.676527
1.186491 1.436830 2.729488
1.221459 1.463645 2.786866
1.255921 1.486931 2.848395
1.289583 1.506148 2.913720
1.322129 1.520769 2.982387
1.353224 1.530297 3.053845
1.382517 1.534284 3.127440
1.409645 1.532346 3.202426
1.434246 1.524190 3.277972
1.455965 1.509625 3.353174
1.474462 1.488583 3.427081
1.489423 1.461132 3.498713
1.500571 1.427478 3.567091
1.507673 1.387972 3.631267
1.510552 1.343103 3.690356
1.509092 1.293487 3.743558
1.503246 1.239846 3.790193
1.493036 1.182989 3.829717
1.478554 1.123783 3.861737
1.459966 1.063122 3.886019
1.437498 1.001896 3.902489
1.411439 0.940966 3.911226
1.382126 0.881136 3.912448
1.349938 0.823132 3.906495
1.315284 0.767585 3.893805
1.278590 0.715026 3.874896
1.240293 0.665874 3.850336
1.200826 0.620442 3.820725
1.160614 0.578939 3.786671
1.120062 0.541482 3.748777
1.079548 0.508100 3.707623
1.039424 0.478754 3.663757
1.000007 0.453344 3.617689
0.961578 0.431724 3.569880
0.924383 0.413713 3.520751
0.888633 0.399108 3.470671
0.854503 0.387690 3.419968
0.822137 0.379236 3.368927
0.791645 0.373523 3.317795
0.763114 0.370336 3.266785
0.736603 0.369469 3.216078
0.712150 0.370732 3.165831
0.689774 0.373948 3.116179
0.669479 0.378961 3.067236
0.651254 0.385630 3.019104
0.635079 0.393833 2.971870
0.614594 0.408790 2.902875
0.598534 0.426687 2.836313
0.586760 0.447319 2.772399
0.579128 0.470556 2.711340
0.575497 0.496327 2.653342
0.575739 0.524613 2.598619
0.579737 0.555437 2.547404
0.587395 0.588854 2.499953
0.598636 0.624940 2.456553
0.613401 0.663787 2.417527
0.631652 0.705481 2.383238
0.653364 0.750103 2.354098
0.678523 0.797703 2.330570
0.707123 0.848293 2.313169
0.739153 0.901825 2.302467
0.774596 0.958169 2.299090
0.813411 1.017091 2.303712
0.855525 1.078227 2.317040
0.885375 1.119962 2.331121
0.916586 1.162250 2.349608
0.949092 1.204850 2.372707
0.982808 1.247474 2.400611
1.017629 1.289788 2.433492
1.053425 1.331410 2.471493
1.090043 1.371904 2.514717
1.127302 1.410787 2.563217
1.164987 1.447529 2.616984
1.202856 1.481556 2.675935
1.240632 1.512264 2.739897
1.278004 1.539022 2.808602
1.314634 1.561193 2.881667
1.350151 1.578149 2.958594
1.384159 1.589291 3.038761
1.416246 1.594076 3.121422
1.445984 1.592036 3.205712
1.472944 1.582809 3.290659
1.496703 1.566161 3.375202
1.516856 1.542007 3.458214
1.533030 1.510426 3.538533
1.544895 1.471675 3.615001
1.552176 1.426188 3.686496
1.554665 1.374568 3.751975
1.552230 1.317576 3.810513
1.544820 1.256100 3.861331
1.532471 1.191130 3.903825
1.515304 1.123718 3.937581
1.493525 1.054942 3.962386
1.467417 0.985862 3.978222
1.437332 0.917490 3.985254
1.403678 0.850757 3.983815
1.366909 0.786484 3.974376
1.327511 0.725371 3.957517
1.285987 0.667983 3.933899
1.242844 0.614749 3.904229
1.198581 0.565968 3.869239
1.153682 0.521813 3.829656
1.108600 0.482347 3.786184
1.063757 0.447539 3.739488
1.019535 0.417281 3.690184
0.976276 0.391398 3.638833
0.934276 0.369674 3.585935
0.893789 0.351859 3.531932
0.855028 0.337681 3.477209
0.818164 0.326866 3.422096
0.783332 0.319134 3.366875
0.750631 0.314218 3.311784
0.720131 0.311862 3.257021
0.691875 0.311827 3.202755
0.665882 0.313896 3.149124
0.642154 0.317870 3.096243
0.620672 0.323575 3.044211
0.601410 0.330859 2.993109
0.584326 0.339590 2.943007
0.569375 0.349661 2.893966
0.556506 0.360980 2.846043
0.540983 0.380148 2.776359
0.529832 0.401802 2.709460
0.522868 0.425847 2.645503
0.519923 0.452257 2.584652
0.520845 0.481059 2.527086
0.525508 0.512325 2.473005
0.533810 0.546161 2.422638
0.545677 0.582701 2.376248
0.561061 0.622091 2.334139
0.579940 0.664487 2.296661
0.602312 0.710035 2.264222
0.628194 0.758864 2.237286
0.657617 0.811069 2.216385
0.690614 0.866692 2.202121
0.727218 0.925700 2.195167
0.767447 0.987961 2.196270
0.796276 1.031154 2.201877
0.826701 1.075562 2.211677
0.858698 1.121035 2.225930
0.892230 1.167374 2.244898
0.927245 1.214338 2.268844
0.963670 1.261632 2.298021
1.001409 1.308904 2.332667
1.040344 1.355742 2.372992
1.080323 1.401670 2.419168
1.121163 1.446148 2.471319
1.162647 1.488575 2.529501
1.204517 1.528289 2.593688
1.246477 1.564577 2.663755
1.288189 1.596689 2.739465
1.329275 1.623849 2.820446
1.369318 1.645279 2.906185
1.407865 1.660223 2.996014
1.426429 1.665040 3.042211
1.444437 1.667978 3.089108
1.461826 1.668961 3.136578
1.478532 1.667922 3.184485
1.494490 1.664804 3.232684
1.509637 1.659555 3.281021
1.523909 1.652138 3.329337
1.537243 1.642526 3.377465
1.549578 1.630701 3.425236
1.560856 1.616664 3.472473
1.571020 1.600423 3.519001
1.580016 1.582006 3.564642
1.594309 1.538810 3.652556
1.603386 1.487562 3.734839
1.606978 1.428970 3.810205
1.604906 1.363943 3.877508
1.597092 1.293565 3.935788
1.583566 1.219045 3.984307
1.564462 1.141680 4.022568
1.540021 1.062793 4.050333
1.510578 0.983687 4.067611
1.476554 0.905595 4.074646
1.438439 0.829640 4.071888
1.396778 0.756802 4.059958
1.352152 0.687896 4.039606
1.305161 0.623564 4.011673
1.256407 0.564275 3.977048
1.206477 0.510328 3.936633
1.155934 0.461870 3.891311
1.105306 0.418915 3.841925
1.055072 0.381365 3.789257
1.005666 0.349029 3.734021
0.957466 0.321649 3.676849
0.910797 0.298920 3.618298
0.865932 0.280506 3.558847
0.823092 0.266055 3.498903
0.782450 0.255213 3.438806
0.744136 0.247635 3.378840
0.708241 0.242991 3.319234
0.674819 0.240973 3.260177
0.643896 0.241296 3.201818
0.615472 0.243704 3.144278
0.589527 0.247969 3.087651
0.566021 0.253890 3.032014
0.544905 0.261294 2.977428
0.526116 0.270037 2.923940
0.509586 0.279997 2.871592
0.495244 0.291076 2.820417
0.483014 0.303198 2.770447
0.472823 0.316308 2.721710
0.464598 0.330366 2.674233
0.455795 0.353189 2.605443
0.451043 0.378086 2.539656
0.450151 0.405105 2.476989
0.452961 0.434345 2.417581
0.459346 0.465947 2.361597
0.469215 0.500088 2.309235
0.482513 0.536968 2.260732
0.499217 0.576807 2.216370
0.519334 0.619832 2.176486
0.542901 0.666272 2.141475
0.569980 0.716342 2.111805
0.600649 0.770232 2.088019
0.635003 0.828088 2.070748
0.673138 0.889991 2.060715
0.700707 0.933508 2.058449
0.730020 0.978788 2.060029
0.761094 1.025771 2.065742
0.793937 1.074358 2.075890
0.828547 1.124412 2.090791
0.864908 1.175746 2.110773
0.902987 1.228120 2.136172
0.942729 1.281231 2.167321
0.984054 1.334706 2.204545
1.026854 1.388101 2.248146
1.070985 1.440887 2.298393
1.116266 1.492453 2.355506
1.162472 1.542103 2.419634
1.209331 1.589059 2.490835
1.232907 1.611261 2.529076
1.256522 1.632464 2.569056
1.280128 1.652550 2.610746
1.303671 1.671399 2.654108
1.327098 1.688889 2.699093
1.350349 1.704897 2.745641
1.373363 1.719299 2.793681
1.396076 1.731971 2.843127
1.418419 1.742791 2.893882
1.440323 1.751641 2.945837
1.461714 1.758405 2.998868
1.482519 1.762976 3.052839
1.502659 1.765250 3.107599
1.522057 1.765136 3.162987
1.540635 1.762549 3.218829
1.558313 1.757419 3.274939
1.575012 1.749686 3.331122
1.590655 1.739307 3.387173
1.605164 1.726253 3.442881
1.618465 1.710513 3.498027
1.630486 1.692092 3.552390
1.641159 1.671016 3.605745
1.650421 1.647328 3.657870
1.658211 1.621090 3.708544
1.664476 1.592384 3.757548
1.669169 1.561312 3.804676
1.672248 1.527991 3.849725
1.673681 1.492559 3.892507
1.673442 1.455167 3.932848
1.671512 1.415982 3.970589
1.667883 1.375183 4.005585
1.662554 1.332962 4.037716
1.655533 1.289518 4.066876
1.646836 1.245056 4.092982
1.636489 1.199787 4.115974
1.624526 1.153924 4.135811
1.610987 1.107678 4.152474
1.595923 1.061258 4.165965
1.579390 1.014869 4.176307
1.561452 0.968709 4.183542
1.521644 0.877818 4.188942
1.477114 0.789965 4.182830
1.428544 0.706326 4.166080
1.376654 0.627849 4.139717
1.322182 0.555246 4.104859
1.265860 0.488995 4.062661
1.208395 0.429358 4.014270
1.150455 0.376406 3.960786
1.092656 0.330046 3.903231
1.035551 0.290055 3.842532
0.979626 0.256109 3.779511
0.925300 0.227813 3.714880
0.872923 0.204728 3.649246
0.822777 0.186390 3.583114
0.775084 0.172335 3.516899
0.730006 0.162105 3.450935
0.687657 0.155264 3.385485
0.648103 0.151406 3.320755
0.611372 0.150156 3.256903
0.577459 0.151177 3.194044
0.546331 0.154168 3.132265
0.517933 0.158867 3.071626
0.492194 0.165045 3.012170
0.469029 0.172509 2.953925
0.448345 0.181099 2.896908
