3 6342
-1.108404 -0.266992 3.987051
-1.076257 -0.243516 3.953970
-1.044369 -0.221857 3.920179
-1.012810 -0.201957 3.885795
-0.981644 -0.183753 3.850927
-0.920718 -0.152169 3.780133
-0.861996 -0.126541 3.708497
-0.805800 -0.106281 3.636590
-0.752378 -0.090805 3.564867
-0.701906 -0.079544 3.493684
-0.654501 -0.071961 3.423311
-0.610225 -0.067558 3.353947
-0.569093 -0.065881 3.285734
-0.531083 -0.066522 3.218770
-0.496140 -0.069124 3.153117
-0.464184 -0.073371 3.088809
-0.435117 -0.078995 3.025863
-0.408826 -0.085767 2.964279
-0.385189 -0.093498 2.904049
-0.364078 -0.102030 2.845160
-0.345363 -0.111240 2.787593
-0.328914 -0.121030 2.731328
-0.314604 -0.131329 2.676347
-0.302311 -0.142085 2.622630
-0.291918 -0.153268 2.570159
-0.283314 -0.164863 2.518919
-0.276399 -0.176869 2.468897
-0.271078 -0.189301 2.420082
-0.265905 -0.208799 2.349107
-0.263883 -0.229431 2.280820
-0.264813 -0.251360 2.215225
-0.268538 -0.274784 2.152344
-0.413391 -0.581863 1.736725
-0.444517 -0.635209 1.707660
-0.479275 -0.693643 1.684016
-0.504596 -0.735616 1.671611
-0.531733 -0.780127 1.662178
-0.560771 -0.827269 1.655993
-0.591795 -0.877123 1.653368
-0.624893 -0.929744 1.654649
-0.660146 -0.985163 1.660222
-0.697634 -1.043376 1.670509
-0.737424 -1.104332 1.685975
-0.779574 -1.167926 1.707122
-0.824126 -1.233986 1.734489
-0.871099 -1.302258 1.768647
-0.920484 -1.372395 1.810192
-0.972239 -1.443937 1.859730
-0.998980 -1.480055 1.887685
-1.026279 -1.516294 1.917865
-1.054115 -1.552556 1.950339
-1.082467 -1.588736 1.985176
-1.111309 -1.624718 2.022440
-1.140609 -1.660376 2.062190
-1.170332 -1.695571 2.104478
-1.200439 -1.730157 2.149347
-1.230882 -1.763975 2.196834
-1.261612 -1.796854 2.246961
-1.292571 -1.828616 2.299740
-1.323697 -1.859070 2.355170
-1.354921 -1.888020 2.413231
-1.386167 -1.915257 2.473888
-1.417354 -1.940568 2.537086
-1.448394 -1.963736 2.602749
-1.479193 -1.984538 2.670779
-1.509650 -2.002751 2.741055
-1.539659 -2.018151 2.813429
-1.569107 -2.030520 2.887728
-1.597878 -2.039645 2.963754
-1.625849 -2.045323 3.041280
-1.652895 -2.047363 3.120054
-1.678886 -2.045592 3.199796
-1.703692 -2.039854 3.280203
-1.727179 -2.030019 3.360949
-1.749216 -2.015983 3.441685
-1.769670 -1.997670 3.522045
-1.788414 -1.975039 3.601650
-1.805322 -1.948082 3.680108
-1.820275 -1.916830 3.757021
-1.833161 -1.881353 3.831991
-1.843876 -1.841759 3.904624
-1.852324 -1.798196 3.974532
-1.858423 -1.750851 4.041345
-1.862103 -1.699950 4.104710
-1.863305 -1.645752 4.164302
-1.861988 -1.588549 4.219824
-1.858123 -1.528662 4.271012
-1.851700 -1.466435 4.317641
-1.842722 -1.402232 4.359528
-1.831211 -1.336431 4.396531
-1.817204 -1.269419 4.428551
-1.800754 -1.201586 4.455537
-1.781928 -1.133319 4.477479
-1.760809 -1.064997 4.494411
-1.737493 -0.996989 4.506408
-1.712087 -0.929644 4.513581
-1.684711 -0.863292 4.516078
-1.655493 -0.798237 4.514077
-1.624569 -0.734756 4.507780
-1.592081 -0.673098 4.497415
-1.558176 -0.613480 4.483224
-1.523005 -0.556089 4.465466
-1.486719 -0.501080 4.444404
-1.449472 -0.448578 4.420312
-1.411413 -0.398676 4.393459
-1.372693 -0.351442 4.364115
-1.333456 -0.306913 4.332544
-1.293842 -0.265104 4.299003
-1.253988 -0.226008 4.263735
-1.214021 -0.189595 4.226977
-1.174066 -0.155820 4.188946
-1.134237 -0.124621 4.149851
-1.094641 -0.095923 4.109883
-1.055380 -0.069640 4.069217
-1.016544 -0.045677 4.028014
-0.978217 -0.023933 3.986422
-0.940477 -0.004302 3.944570
-0.903390 0.013329 3.902577
-0.867018 0.029069 3.860546
-0.831414 0.043032 3.818570
-0.796624 0.055331 3.776727
-0.762688 0.066077 3.735088
-0.729638 0.075378 3.693710
-0.697502 0.083340 3.652644
-0.666301 0.090066 3.611932
-0.636050 0.095654 3.571607
-0.578442 0.103790 3.492225
-0.524712 0.108451 3.414654
-0.474838 0.110264 3.338978
-0.428746 0.109782 3.265226
-0.386322 0.107487 3.193390
-0.347424 0.103793 3.123433
-0.311887 0.099054 3.055304
-0.279529 0.093563 2.988940
-0.250161 0.087567 2.924273
-0.223586 0.081268 2.861233
-0.199610 0.074827 2.799753
-0.178039 0.068375 2.739768
-0.158684 0.062010 2.681216
-0.141365 0.055811 2.624041
-0.125907 0.049831 2.568190
-0.112146 0.044111 2.513615
-0.099928 0.038674 2.460270
-0.089110 0.033535 2.408116
-0.079557 0.028697 2.357114
-0.071147 0.024156 2.307231
-0.060427 0.017882 2.234433
-0.051682 0.012209 2.163980
-0.044617 0.007073 2.095783
-0.277912 -0.484880 0.749736
-0.312457 -0.546418 0.741067
-0.337937 -0.591751 0.737606
-0.365564 -0.640830 0.736305
-0.395512 -0.693923 0.737479
-0.427963 -0.751300 0.741495
-0.463108 -0.813233 0.748784
-0.501149 -0.879988 0.759846
-0.542294 -0.951811 0.775260
-0.586755 -1.028925 0.795698
-0.634746 -1.111507 0.821928
-0.660130 -1.154888 0.837486
-0.686476 -1.199674 0.854831
-0.713806 -1.245865 0.874092
-0.742145 -1.293454 0.895405
-0.771516 -1.342428 0.918913
-0.801937 -1.392762 0.944768
-0.833429 -1.444420 0.973130
-0.866006 -1.497356 1.004166
-0.899682 -1.551509 1.038050
-0.934465 -1.606801 1.074962
-0.970361 -1.663141 1.115089
-1.007371 -1.720415 1.158622
-1.045488 -1.778490 1.205756
-1.084702 -1.837211 1.256688
-1.124995 -1.896398 1.311614
-1.166341 -1.955844 1.370729
-1.208704 -2.015315 1.434222
-1.252039 -2.074544 1.502275
-1.296292 -2.133236 1.575057
-1.341396 -2.191062 1.652723
-1.387271 -2.247658 1.735404
-1.433822 -2.302630 1.823209
-1.480943 -2.355547 1.916212
-1.528510 -2.405947 2.014453
-1.576382 -2.453337 2.117927
-1.624402 -2.497198 2.226577
-1.672396 -2.536986 2.340293
-1.720172 -2.572139 2.458898
-1.767521 -2.602083 2.582147
-1.814214 -2.626243 2.709723
-1.860008 -2.644045 2.841225
-1.904644 -2.654934 2.976172
-1.947848 -2.658384 3.114000
-1.989336 -2.653906 3.254059
-2.028814 -2.641069 3.395619
-2.065980 -2.619505 3.537871
-2.100532 -2.588930 3.679942
-2.132168 -2.549154 3.820896
-2.160592 -2.500091 3.959753
-2.185518 -2.441769 4.095505
-2.206674 -2.374340 4.227131
-2.223812 -2.298081 4.353618
-2.236704 -2.213397 4.473982
-2.245156 -2.120817 4.587289
-2.249004 -2.020989 4.692677
-2.248125 -1.914668 4.789374
