3 399
-0.265750 -0.258991 2.193961
-0.270380 -0.282963 2.131994
-0.277669 -0.308742 2.072807
-0.287564 -0.336594 2.016478
-0.300055 -0.366811 1.963116
-0.315171 -0.399707 1.912864
-0.332979 -0.435620 1.865909
-0.353584 -0.474909 1.822489
-0.063765 0.019904 2.258433
-0.054397 0.014037 2.187209
-0.046802 0.008730 2.118270
-0.040712 0.003915 2.051531
-0.035898 -0.000482 1.986915
-0.032168 -0.004536 1.924349
-0.029360 -0.008322 1.863764
-0.027341 -0.011914 1.805095
-0.026001 -0.015383 1.748282
-0.025252 -0.018799 1.693266
-0.025025 -0.022228 1.639990
-0.025267 -0.025736 1.588400
-0.025939 -0.029389 1.538445
0.661367 0.765637 2.345608
0.687674 0.814235 2.324061
0.545677 0.582701 2.376248
0.561061 0.622091 2.334139
0.579940 0.664487 2.296661
0.602312 0.710035 2.264222
0.628194 0.758864 2.237286
0.657617 0.811069 2.216385
0.690614 0.866692 2.202121
0.454697 0.444608 2.398530
0.462252 0.477036 2.343729
0.473269 0.512066 2.292625
0.487703 0.549908 2.245469
0.505542 0.590783 2.202560
0.526804 0.634922 2.164253
0.551534 0.682549 2.130967
0.579800 0.733873 2.103193
0.356511 0.319802 2.374040
0.358823 0.346334 2.310964
0.364397 0.374883 2.250982
0.373137 0.405673 2.194217
0.384988 0.438956 2.140827
0.399935 0.475008 2.091011
0.418001 0.514128 2.045015
0.439245 0.556624 2.003140
0.463763 0.602818 1.965754
0.219342 0.157725 2.321760
0.215861 0.175381 2.252195
0.215091 0.193958 2.185170
0.216855 0.213638 2.120670
0.221020 0.234629 2.058698
0.227498 0.257165 1.999275
0.236241 0.281504 1.942441
0.247243 0.307925 1.888260
0.260533 0.336731 1.836825
0.276179 0.368250 1.788264
0.294284 0.402832 1.742741
-0.032123 -0.130048 2.227638
-0.045261 -0.132321 2.157982
-0.057303 -0.136116 2.090697
-0.068569 -0.141455 2.025712
-0.079347 -0.148369 1.962969
-0.089896 -0.156904 1.902418
-0.100454 -0.167128 1.844019
-0.111240 -0.179128 1.787744
-0.122464 -0.193016 1.733577
-0.134326 -0.208932 1.681515
0.281054 0.418784 2.171393
0.304451 0.443887 2.115411
0.328652 0.472673 2.063037
0.354050 0.505329 2.014457
0.381018 0.542065 1.969917
0.409915 0.583115 1.929726
0.176202 0.110396 2.296847
0.171354 0.125072 2.226517
0.168965 0.140297 2.158611
0.168840 0.156231 2.093086
0.170822 0.173053 2.029911
0.174802 0.190967 1.969069
0.180707 0.210192 1.910555
0.188502 0.230967 1.854382
0.198189 0.253552 1.800579
0.209803 0.278228 1.749197
0.223414 0.305297 1.700313
-0.134232 -0.250679 2.218213
-0.151829 -0.261870 2.151956
-0.169031 -0.275582 2.088419
-0.186212 -0.291921 2.027599
-0.203719 -0.311018 1.969515
-0.221879 -0.333032 1.914219
-0.241001 -0.358153 1.861788
-0.261390 -0.386603 1.812339
0.013750 0.112756 2.249983
0.026647 0.113378 2.179350
0.038255 0.115372 2.111080
0.048895 0.118744 2.045097
0.058854 0.123505 1.981331
0.068387 0.129681 1.919724
0.077728 0.137312 1.860224
0.087086 0.146455 1.802787
0.096658 0.157190 1.747381
0.106631 0.169619 1.693982
0.117184 0.183868 1.642575
0.128493 0.200091 1.593160
-0.235248 -0.208409 2.227275
-0.236644 -0.229065 2.162195
-0.240613 -0.251106 2.099722
-0.247056 -0.274765 2.039887
-0.255917 -0.300300 1.982741
-0.309267 -0.414800 1.797827
0.017806 0.081439 2.062411
0.026300 0.082972 1.997637
0.034100 0.085576 1.934975
0.041421 0.089254 1.874361
0.048455 0.094018 1.815735
0.055376 0.099896 1.759046
0.062341 0.106932 1.704246
0.069498 0.115188 1.651292
0.076985 0.124744 1.600150
0.084939 0.135703 1.550791
