3 2006
1.192564 1.879558 1.733801
1.230261 1.927573 1.791725
1.268594 1.974893 1.853401
1.307504 2.021265 1.918915
1.346919 2.066410 1.988334
1.386758 2.110031 2.061707
1.426930 2.151812 2.139055
1.467334 2.191413 2.220375
1.507854 2.228480 2.305629
1.548367 2.262644 2.394745
1.588735 2.293522 2.487611
1.628809 2.320724 2.584073
1.668430 2.343854 2.683929
1.707424 2.362518 2.786930
1.745611 2.376330 2.892773
1.782798 2.384916 3.001105
1.818784 2.387923 3.111518
1.853362 2.385024 3.223552
1.886318 2.375930 3.336695
1.917435 2.360396 3.450389
1.946496 2.338227 3.564030
1.973283 2.309286 3.676981
1.997583 2.273505 3.788573
2.019190 2.230883 3.898115
2.037907 2.181497 4.004910
2.053551 2.125504 4.108259
2.065955 2.063137 4.207475
2.074969 1.994713 4.301898
2.080465 1.920622 4.390905
2.082342 1.841328 4.473920
2.080520 1.757357 4.550431
2.074951 1.669297 4.619991
2.065614 1.577777 4.682235
2.052519 1.483465 4.736881
2.035703 1.387050 4.783734
2.015236 1.289235 4.822690
1.991213 1.190717 4.853736
1.963759 1.092180 4.876945
1.933022 0.994284 4.892472
1.899173 0.897651 4.900548
1.862403 0.802859 4.901473
1.822921 0.710433 4.895604
1.780949 0.620841 4.883348
1.736718 0.534488 4.865151
1.690470 0.451718 4.841485
1.642449 0.372808 4.812842
1.592900 0.297973 4.779722
1.542068 0.227369 4.742623
1.490193 0.161092 4.702037
1.437510 0.099187 4.658442
1.384244 0.041651 4.612293
1.330610 -0.011564 4.564022
1.276814 -0.060542 4.514032
1.223047 -0.105397 4.462698
1.169488 -0.146273 4.410359
1.116301 -0.183333 4.357325
1.063638 -0.216757 4.303872
-1.597878 -2.039645 2.963754
-1.625849 -2.045323 3.041280
-1.652895 -2.047363 3.120054
-1.678886 -2.045592 3.199796
-1.703692 -2.039854 3.280203
-1.727179 -2.030019 3.360949
-1.749216 -2.015983 3.441685
-1.769670 -1.997670 3.522045
-1.788414 -1.975039 3.601650
-1.805322 -1.948082 3.680108
-1.820275 -1.916830 3.757021
-1.833161 -1.881353 3.831991
-1.843876 -1.841759 3.904624
-1.852324 -1.798196 3.974532
-1.858423 -1.750851 4.041345
-1.862103 -1.699950 4.104710
-1.045488 -1.778490 1.205756
-1.084702 -1.837211 1.256688
-1.124995 -1.896398 1.311614
-1.166341 -1.955844 1.370729
-1.208704 -2.015315 1.434222
-1.252039 -2.074544 1.502275
-1.296292 -2.133236 1.575057
-1.341396 -2.191062 1.652723
-1.387271 -2.247658 1.735404
-1.433822 -2.302630 1.823209
-1.480943 -2.355547 1.916212
-1.528510 -2.405947 2.014453
-1.576382 -2.453337 2.117927
-1.624402 -2.497198 2.226577
-1.672396 -2.536986 2.340293
-1.720172 -2.572139 2.458898
-1.767521 -2.602083 2.582147
-1.814214 -2.626243 2.709723
-1.860008 -2.644045 2.841225
-1.904644 -2.654934 2.976172
-1.947848 -2.658384 3.114000
-1.989336 -2.653906 3.254059
-2.028814 -2.641069 3.395619
-2.065980 -2.619505 3.537871
-2.100532 -2.588930 3.679942
-2.132168 -2.549154 3.820896
-2.160592 -2.500091 3.959753
-2.185518 -2.441769 4.095505
-2.206674 -2.374340 4.227131
-2.223812 -2.298081 4.353618
-2.236704 -2.213397 4.473982
-2.245156 -2.120817 4.587289
-2.249004 -2.020989 4.692677
-2.248125 -1.914668 4.789374
-2.242435 -1.802704 4.876715
-2.231891 -1.686022 4.954160
-2.216498 -1.565608 5.021303
-2.196302 -1.442481 5.077877
-2.171394 -1.317679 5.123763
-2.141908 -1.192229 5.158984
-2.108017 -1.067135 5.183699
-2.069932 -0.943349 5.198198
-2.027894 -0.821762 5.202886
-1.982174 -0.703184 5.198271
-1.933068 -0.588336 5.184944
-1.880887 -0.477844 5.163562
-1.825958 -0.372229 5.134833
-1.768614 -0.271910 5.099493
-1.709193 -0.177205 5.058294
-1.648029 -0.088335 5.011984
-1.585454 -0.005429 4.961299
-1.521789 0.071469 4.906946
-1.457343 0.142388 4.849598
-1.392409 0.207423 4.789883
-1.327265 0.266725 4.728381
-1.262169 0.320492 4.665622
-1.197359 0.368959 4.602081
-1.133054 0.412388 4.538181
-1.069451 0.451064 4.474290
-1.006726 0.485284 4.410729
-0.945037 0.515353 4.347770
-0.884520 0.541579 4.285639
-0.825292 0.564265 4.224524
